molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL319556,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,10000.0,inactive
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,1.0,active
CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,50000.0,inactive
CHEMBL386760,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,240.0,active
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,11.0,active
CHEMBL557844,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1.Cl,141.0,active
CHEMBL221378,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,28.0,active
CHEMBL375205,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1,29.0,active
CHEMBL220484,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1,446.0,active
CHEMBL220969,C[C@H](Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,56.0,active
CHEMBL374321,C[C@H](Nc1cc(-c2ccc(C#N)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,18.0,active
CHEMBL221376,C[C@H](Nc1cc(-c2cnn(C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,77.0,active
CHEMBL220483,COc1ccc(-c2cc(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)n2)cc1OC,12.0,active
CHEMBL373523,C[C@H](Nc1cc(-c2cccc(N(C)C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,167.0,active
CHEMBL384820,C[C@H](Nc1cc(-c2ccc(N(C)C)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,20.0,active
CHEMBL222027,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,16.0,active
CHEMBL221037,C[C@H](Nc1cc(N2CC[C@@H](O)C2)nc(-n2cnc3ccncc32)n1)c1ccccc1,59.0,active
CHEMBL376885,CN1CCN(c2cc(Nc3ccccc3Cl)nc(-n3cnc4ccncc43)n2)CC1,113.0,active
CHEMBL385114,CN1CCN(c2cc(Oc3c(F)cccc3F)nc(-n3cnc4ccncc43)n2)CC1,68.0,active
CHEMBL218439,CN1CCN(c2cc(Oc3ccccc3Cl)nc(-n3cnc4ccncc43)n2)CC1,17.0,active
CHEMBL375296,C[C@H](Nc1cc(N2CCN(C)CC2)nc(-n2cnc3ccncc32)n1)c1ccccc1,19.0,active
CHEMBL218579,C[C@H](Nc1cc(N(C)C)nc(-n2cnc3ccncc32)n1)c1ccccc1,7.0,active
CHEMBL221912,COC[C@H](C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1,124.0,active
CHEMBL217937,Cc1nc2ccncc2n1-c1nccc(N[C@@H](C)c2ccccc2)n1,10000.0,inactive
CHEMBL222028,C[C@H](Nc1ccnc(-n2ccc3ccncc32)n1)c1ccccc1,10000.0,inactive
CHEMBL375076,C[C@@H](Nc1nccc(-n2cnc3ccncc32)n1)c1ccccc1,49.0,active
CHEMBL220585,C[C@H](Nc1ccnc(-n2cnc3cnccc32)n1)c1ccccc1,51.0,active
CHEMBL221038,c1ccc2c(c1)CCC[C@@H]2Nc1ccnc(-n2cnc3ccncc32)n1,7218.0,intermediate
CHEMBL374854,c1ccc(CNc2ccnc(-n3cnc4ccncc43)n2)cc1,10000.0,inactive
CHEMBL218602,C[C@@H](c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,153.0,active
CHEMBL218746,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(Cl)cc1,51.0,active
CHEMBL221976,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,8.0,active
CHEMBL221029,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccccc1,4.0,active
CHEMBL323994,O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,600.0,active
CHEMBL386637,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,550.0,active
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,500000.0,inactive
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,11.0,active
CHEMBL231925,CN1CCN(C(=O)c2cc3c(NCc4ccccc4F)nc(-n4cnc5ccncc54)nc3n2C)CC1,1860.0,intermediate
CHEMBL392371,C[C@@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1,298.0,active
CHEMBL232149,CN1CCN(C(=O)c2cc3c(NC(C)(C)C)nc(-n4cnc5ccncc54)nc3n2C)CC1,323.0,active
CHEMBL392998,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(=O)(=O)c1ccccc1)n2C)c1ccccc1,359.0,active
CHEMBL232147,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)C(C)(C)O,209.0,active
CHEMBL393375,COc1ccc(Cl)c(Nc2nc(-n3cnc4ccncc43)nc3c2cc(C(=O)N2CCN(C)CC2)n3C)c1,132.0,active
CHEMBL231949,COC[C@H](C)Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C,222.0,active
CHEMBL231948,COCCNC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)nc2n1C,25.0,active
CHEMBL231733,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCn1ccnc1)n2C)c1ccccc1,53.0,active
CHEMBL391096,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCOCC1)n2C)c1ccccc1,21.0,active
CHEMBL233969,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCN1CCOCC1)n2C)c1ccccc1,42.0,active
CHEMBL394174,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(C)(=O)=O)n2C)c1ccccc1,55.0,active
CHEMBL233555,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCN(C)C)n2C)c1ccccc1,19.0,active
CHEMBL391492,CONC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)nc2n1C,6.0,active
CHEMBL233151,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1,11.0,active
CHEMBL247468,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCN4CCNCC4)c23)cc1,8333.0,intermediate
CHEMBL247866,CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,4891.0,intermediate
